Date;Open;High;Low;Close;Volume;Adj Close;;;;;;;;
04.06.2012;18249.61;18249.61;18056.40;18185.59;1607428300;18185.59;;;;;;;;
01.06.2012;18498.91;18726.44;18487.66;18558.34;1859948800;18558.34;;;;;;;;
31.05.2012;18470.77;18657.90;18378.14;18629.52;4197772800;18629.52;;;;;;;;
30.05.2012;18897.12;18897.12;18604.45;18690.22;1934253000;18690.22;;;;;;;;
29.05.2012;18735.50;19058.47;18735.50;19055.46;1512895300;19055.46;;;;;;;;
28.05.2012;18672.32;18858.32;18672.32;18800.99;1267920400;18800.99;;;;;;;;
25.05.2012;18734.38;18778.44;18577.09;18713.41;1576541900;18713.41;;;;;;;;
24.05.2012;18755.09;18835.81;18654.76;18666.40;1400663200;18666.40;;;;;;;;
23.05.2012;18842.32;18845.84;18661.48;18786.19;1478242900;18786.19;;;;;;;;
22.05.2012;19061.42;19182.66;19002.64;19039.15;1470101600;19039.15;;;;;;;;
21.05.2012;18902.00;18953.68;18796.69;18922.32;1236217100;18922.32;;;;;;;;
18.05.2012;18787.00;18985.43;18622.31;18951.85;2373232400;18951.85;;;;;;;;
17.05.2012;19369.43;19452.30;19139.73;19200.93;1789919600;19200.93;;;;;;;;
16.05.2012;19655.34;19655.34;19181.19;19259.83;2066051600;19259.83;;;;;;;;
15.05.2012;19702.54;19923.19;19639.85;19894.31;1867690000;19894.31;;;;;;;;
14.05.2012;20037.52;20044.69;19715.51;19735.04;1730108400;19735.04;;;;;;;;
11.05.2012;20083.27;20083.27;19901.41;19964.63;1624694700;19964.63;;;;;;;;
10.05.2012;20313.97;20375.04;20091.68;20227.28;1720960400;20227.28;;;;;;;;
09.05.2012;20361.55;20371.66;20257.61;20330.64;1797879400;20330.64;;;;;;;;
08.05.2012;20647.38;20647.38;20399.38;20484.75;1480445300;20484.75;;;;;;;;
07.05.2012;20658.41;20674.45;20477.86;20536.65;2201041600;20536.65;;;;;;;;
04.05.2012;21107.19;21170.64;21061.14;21086.00;1367404200;21086.00;;;;;;;;
03.05.2012;21209.44;21256.81;21153.63;21249.53;7112369600;21249.53;;;;;;;;
02.05.2012;21245.48;21385.30;21237.17;21309.08;1550182600;21309.08;;;;;;;;
01.05.2012;0;0;0;21201.65;0;0;;;;;;;;
